Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
HOT 고구마크림타로라뗴,HOT,600.0,366.0,0.0,41.0,159.0,10.7,4300,더 벤티,주스/에이드/음료
ICE 고구마아인슈페너,ICE,420.0,369.0,26.0,32.0,15.0,69.0,4000,더 벤티,주스/에이드/음료
ICE 아메리카노,ICE,600.0,11.0,192.0,0.0,0.1,0.0,1800,더 벤티,커피
ICE 카페라떼,ICE,600.0,160.0,296.0,11.0,5.2,113.0,3000,더 벤티,커피
ICE 오트카페라떼,ICE,600.0,156.0,296.0,7.0,0.7,102.0,3800,더 벤티,커피
ICE 바닐라딥라떼,ICE,600.0,341.0,296.0,27.0,7.8,212.0,3500,더 벤티,커피
ICE 헤이즐넛딥라떼,ICE,600.0,297.0,296.0,31.0,9.0,159.0,2500,더 벤티,커피
ICE 믹스커피,ICE,600.0,362.0,134.0,16.0,6.6,31.0,3500,더 벤티,커피
ICE 코코넛라떼,ICE,600.0,256.0,296.0,21.0,8.4,150.0,3500,더 벤티,커피
ICE 연유라떼,ICE,600.0,363.0,296.0,40.0,8.2,167.0,3500,더 벤티,커피
ICE 카라멜마끼아또,ICE,600.0,281.0,296.0,41.0,4.5,106.0,3500,더 벤티,커피
ICE 카페모카,ICE,600.0,421.0,303.0,31.0,12.9,182.0,3500,더 벤티,커피
ICE 토피넛라떼,ICE,600.0,345.0,10.0,39.0,10.1,228.0,3700,더 벤티,커피
ICE 아이스크림라떼,ICE,600.0,270.0,296.0,45.0,9.5,143.0,3900,더 벤티,커피
HOT 아메리카노,HOT,600.0,11.0,192.0,0.0,0.1,0.0,1500,더 벤티,커피
HOT 카페라떼,HOT,600.0,242.0,296.0,18.0,8.1,176.0,3000,더 벤티,커피
HOT 오트카페라떼,HOT,600.0,235.0,296.0,11.0,1.1,158.0,3800,더 벤티,커피
HOT 바닐라딥라떼,HOT,600.0,403.0,296.0,32.0,10.0,260.0,3500,더 벤티,커피
HOT 헤이즐넛딥라떼,HOT,600.0,359.0,296.0,11.0,11.2,206.0,3500,더 벤티,커피
HOT 믹스커피,HOT,600.0,362.0,134.0,16.0,6.6,31.0,2500,더 벤티,커피
HOT 코코넛라떼,HOT,600.0,317.0,296.0,26.0,10.6,198.0,3500,더 벤티,커피
HOT 연유라떼,HOT,600.0,424.0,296.0,45.0,10.3,215.0,3500,더 벤티,커피
HOT 카라멜마끼아또,HOT,600.0,363.0,296.0,37.0,7.4,169.0,3500,더 벤티,커피
HOT 카페모카,HOT,600.0,483.0,303.0,36.0,15.1,230.0,3500,더 벤티,커피
HOT 토피넛라떼,HOT,600.0,394.0,10.0,43.0,11.8,265.0,3700,더 벤티,커피
ICE 말차아인슈페너,ICE,420.0,446.0,26.0,23.0,18.6,93.0,3500,더 벤티,주스/에이드/음료
ICE 아인슈페너,ICE,420.0,504.0,296.0,37.0,23.9,93.0,3500,더 벤티,주스/에이드/음료
ICE 콜드브루,ICE,600.0,14.0,92.4,0.0,0.0,92.0,3300,더 벤티,커피
ICE 콜드브루라떼,ICE,600.0,160.0,92.0,11.0,5.2,113.0,3800,더 벤티,커피
ICE 바닐라크림콜드브루,ICE,600.0,263.0,79.0,33.0,7.2,12.0,4000,더 벤티,커피
ICE 헤이즐넛크림콜드브루,ICE,600.0,253.0,29.0,32.0,7.2,13.0,4000,더 벤티,커피
ICE 멜팅 초코,ICE,600.0,504.0,17.0,41.0,12.6,191.0,3900,더 벤티,주스/에이드/음료
HOT 멜팅 초코,HOT,600.0,589.0,17.0,48.0,15.6,256.0,3900,더 벤티,주스/에이드/음료
ICE 딸기라떼,ICE,600.0,305.0,0.0,49.0,4.7,102.0,3500,더 벤티,주스/에이드/음료
ICE 미숫가루,ICE,600.0,420.0,0.0,14.0,0.9,3.0,3000,더 벤티,주스/에이드/음료
ICE 미숫가루라떼,ICE,600.0,460.0,0.0,26.0,6.3,127.0,3500,더 벤티,주스/에이드/음료
HOT 미숫가루라떼,HOT,600.0,525.0,0.0,31.0,8.6,177.0,3500,더 벤티,주스/에이드/음료
HOT 초코라떼,HOT,600.0,526.0,11.0,36.0,15.0,253.0,3500,더 벤티,주스/에이드/음료
ICE 초코라떼,ICE,600.0,478.0,11.0,32.0,13.3,215.0,3500,더 벤티,주스/에이드/음료
ICE 말차라떼,ICE,600.0,376.0,69.0,25.0,5.2,114.0,3500,더 벤티,주스/에이드/음료
HOT 말차라떼,HOT,600.0,425.0,69.0,29.0,6.9,151.0,3500,더 벤티,주스/에이드/음료
HOT 군고구마라떼,HOT,600.0,326.0,0.0,41.0,6.9,155.0,3500,더 벤티,주스/에이드/음료
ICE 군고구마라떼,ICE,600.0,278.0,0.0,27.0,5.2,118.0,3500,더 벤티,주스/에이드/음료
ICE 로얄밀크티,ICE,600.0,340.0,41.0,49.0,6.8,137.0,3500,더 벤티,주스/에이드/음료
HOT 로얄밀크티,HOT,600.0,389.0,41.0,53.0,8.5,175.0,3500,더 벤티,주스/에이드/음료
ICE 흑설탕버블티,ICE,600.0,468.0,0.0,61.0,5.2,199.0,3900,더 벤티,주스/에이드/음료
ICE 타로버블티,ICE,600.0,588.0,0.0,65.0,15.0,95.0,3900,더 벤티,주스/에이드/음료
ICE 플레인요거트스무디,ICE,600.0,397.0,0.0,20.0,7.9,87.0,3900,더 벤티,스무디/프라페
ICE 딸기요거트스무디,ICE,600.0,484.0,0.0,41.0,7.9,92.0,3900,더 벤티,스무디/프라페
ICE 블루베리요거트스무디,ICE,600.0,495.0,0.0,40.0,7.9,110.0,3900,더 벤티,스무디/프라페
ICE 망고요거트스무디,ICE,600.0,482.0,0.0,40.0,7.9,105.0,3900,더 벤티,스무디/프라페
ICE 포도베리크러쉬,ICE,600.0,453.0,0.0,98.0,0.0,27.0,4200,더 벤티,스무디/프라페
ICE 망고패션크러쉬,ICE,600.0,360.0,0.0,78.0,0.1,28.0,4200,더 벤티,스무디/프라페
